The information provided within this data file was correct at time of publishing and is subject to change at any time. Dated: 16/5/2018


Name,Address,Suburb,Postcode,Phone,Fax,LHD
Lightning Ridge Multi Purpose Health Service,20 Pandora Street,Lightning Ridge,2834,02 6829 9999,02 6829 9992,Western NSW Local Health District
Parkes District Hospital,18 Coleman Road,Parkes,2870,(02) 6861 2400,02 6862 3921,Western NSW Local Health District
Peak Hill Health Service,Newell Highway,Peak Hill,2869,02 6869 1406,02 6869 1511,Western NSW Local Health District
Nyngan Multi-Purpose Service,15 Hoskins Street,Nyngan,2825,02 6835 1700,02 6832 2015,Western NSW Local Health District
Oberon Health Service,75 North Street,Oberon,2787,02 6336 7200,02 6336 1999,Western NSW Local Health District
Orange Health Service,1502 Forest Road,Orange,2800,02 6369 3000,02 6393 3593,Western NSW Local Health District
Mudgee Health Service,Meares Street,Mudgee,2850,02 6378 6222,02 6372 3587,Western NSW Local Health District
Narromine Hospital & Community Health,128 Cathundril Street,Narromine,2821,02 6889 1377,02 6889 2371,Western NSW Local Health District
Molong Health Service,King Street,Molong,2866,02 6392 3300,02 6366 8750,Western NSW Local Health District
Dubbo Base Hospital,Myall Street,Dubbo,2830,02 6809 6809,02 6882 9034,Western NSW Local Health District
Dunedoo Health Service,Digilah Street,Dunedoo,2844,02 6375 1408,02 6375 1221,Western NSW Local Health District
Coonabarabran District Hospital,101-103 Edwards Street,Coonabarabran,2357,02 6826 6100,02 6842 6415,Western NSW Local Health District
Coonamble Health Service,15 Castlereagh Street,Coonamble,2829,02 6827 1100,02 6822 1942,Western NSW Local Health District
Cowra District Hospital,64 Liverpool Street,Cowra,2794,02 6340 9000,02 6340 2331,Western NSW Local Health District
Canowindra Soldiers Memorial Hospital,Browns Avenue,Canowindra,2804,02 6340 3033,02 6344 1833,Western NSW Local Health District
Cobar District Hospital,Lerida Road,Cobar,2835,02 6830 2111,02 6843 1535,Western NSW Local Health District
Condobolin District Hospital,Madline Street,Condobolin,2877,02 6890 1500,02 6895 2592,Western NSW Local Health District
Coolah Multi-Purpose Health Service,Martin Street,Coolah,2843,02 6377 9100,02 6377 1536,Western NSW Local Health District
Collarenebri Health Service,Walgett Street,Collarenebri,2833,02 6756 4888,02 6756 2282,Western NSW Local Health District
Brewarrina Multi-Purpose Service,56 Doyle Street,Brewarrina,2839,02 6830 5000,02 6830 5055,Western NSW Local Health District
Bourke District Hospital,26 Tarcoon Street,Bourke,2840,02 6870 8888,02 6872 2249,Western NSW Local Health District
Blayney Multi-Purpose Health Service,3 Osman Street,Blayney,2799,02 6368 9000,02 6368 3051,Western NSW Local Health District
Bathurst Hospital,Howick Street,Bathurst,2795,02 6330 5311,02 6339 5281,Western NSW Local Health District
Baradine Multi-Purpose Service,Cnr Darling and Macquarie Street,Baradine,2396,02 6843 4100,02 6843 1535,Western NSW Local Health District
Sydney Childrens Hospital,High Street,Randwick,2031,02 9382 1111,02 9382 1451,Sydney Children's Hospitals Specialty Network
The Childrens Hospital at Westmead,Cnr Hawkesbury Rd and Hainsworth St,Westmead,2145,02 9845 0000,02 9845 3489,Sydney Children's Hospitals Specialty Network
St Josephs Hospital,Normanby Road,Auburn,2144,02 9649 8941,02 9649 7092,St Vincent's Health Network
St Vincents Hospital,390 Victoria Street,Darlinghurst,2010,02 8382 1111,02 9332 4142,St Vincent's Health Network
Sacred Heart Hospice,170 Darlinghurst Road,Darlinghurst ,2010,02 8382 9444,,St Vincent's Health Network
Albury Wodonga Health,201 Borella Road,Albury,2640,02 6058 4444,,Albury Wodonga Health
